address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
505 E HUNTLAND DR Austin TX 78752,15.03,2015-02-11 00:00:00,Not cleared,4.0,THEFT FROM BUILDING,I,30.32936427457502,,505 E HUNTLAND DR,-97.700502411477,Theft,2015-01-12 00:00:00,20158000095.0,3124632.0,10093682.0,2015.0,78752.0
(30.322904 -97.710548),15.03,2014-09-24 00:00:00,Not cleared,4.0,THEFT,I,30.322904,(30.322904-97.710548),6000 MIDDLE FISKVILLE RD,-97.710548,Theft: All Other Larceny,2014-09-22 00:00:00,20145042010.0,3123931.0,10091029.0,2014.0,78752.0
(30.298396 -97.677709),21.07,2014-07-17 00:00:00,Not cleared,1.0,BURGLARY OF VEHICLE,I,30.298396,(30.298396-97.677709),5407 PENDLETON LN,-97.677709,Theft: BOV,2014-07-16 00:00:00,20145031295.0,3134588.0,10082195.0,2014.0,78723.0
(30.328814 -97.677334),18.11,,,1.0,AUTO THEFT,I,30.328814,(30.328814-97.677334),2200 E ANDERSON LN SVRD EB,-97.677334,Auto Theft,2014-09-11 00:00:00,20142540206.0,3134873.0,10092689.0,2014.0,78752.0
(30.32945 -97.690009),18.11,2014-07-01 00:00:00,Cleared by Arrest,1.0,THEFT,I,30.32945,(30.32945-97.690009),7517 CAMERON RD,-97.690009,Theft: All Other Larceny,2014-06-28 00:00:00,20141791354.0,3130685.0,10093333.0,2014.0,78752.0
1044 NORWOOD PARK BLVD Austin TX 78753,18.13,2015-03-26 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,I,30.32936427457502,,1044 NORWOOD PARK BLVD,-97.700502411477,Theft,2015-03-24 00:00:00,20155012197.0,3129896.0,10096032.0,2015.0,78753.0
(30.30279 -97.685489),21.06,2014-06-10 00:00:00,Not cleared,1.0,BURGLARY OF RESIDENCE,I,30.30279,(30.30279-97.685489),5319 WELLINGTON DR,-97.685489,"Burglary / ",,,,,,
(30.362887 -97.717631),18.18,2014-03-18 00:00:00,Not cleared,7.0,THEFT,I,30.362887,(30.362887-97.717631),8630 RESEARCH BLVD SB,-97.717631,Theft: All Other Larceny,2014-01-31 00:00:00,20145004657.0,3121360.0,10105357.0,2014.0,78757.0
(30.336574 -97.718265),15.03,2014-12-30 00:00:00,Not cleared,4.0,THEFT BY SHOPLIFTING,I,30.336574,(30.336574-97.718265),6929 AIRPORT BLVD,-97.718265,Theft: Shoplifting,2014-12-14 00:00:00,20143481310.0,3121678.0,10096228.0,2014.0,78752.0
(30.338618 -97.692566),18.13,2014-06-21 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: Shoplifting,2014-06-17 00:00:00,20141680036.0,3129997.0,10096983.0,2014.0,78753.0
(30.338618 -97.692566),18.13,2014-11-21 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: Shoplifting,2014-11-21 00:00:00,20143252016.0,3129997.0,10096983.0,2014.0,78753.0
(30.371858 -97.724216),18.18,2014-02-03 00:00:00,Not cleared,7.0,THEFT BY SHOPLIFTING,I,30.371858,(30.371858-97.724216),9012 RESEARCH BLVD SVRD SB,-97.724216,Theft: Shoplifting,2014-02-03 00:00:00,20145005134.0,3119220.0,10108622.0,2014.0,78757.0
Austin TX 78752,18.04,2014-12-08 00:00:00,Not cleared,4.0,THEFT FROM AUTO,I,30.32936427457502,,7522 N IH 35 SVRD SB,-97.700502411477,Theft: BOV,2014-12-07 00:00:00,20145053765.0,3126502.0,10096146.0,2014.0,78752.0
(30.312643 -97.696842),21.04,2015-02-17 00:00:00,Cleared by Arrest,4.0,BURGLARY OF RESIDENCE,I,30.312643,(30.312643-97.696842),1501 RIDGEHAVEN DR,-97.696842,"Burglary / ",,,,,,
1200 E 52ND ST Austin TX 78723,21.05,2015-09-17 00:00:00,Not cleared,4.0,THEFT,I,30.32936427457502,,1200 E 52ND ST,-97.700502411477,Theft,2015-09-16 00:00:00,20152591061.0,3125161.0,10086091.0,2015.0,78723.0
(30.313949 -97.671201),21.13,2014-09-22 00:00:00,Not cleared,1.0,BURGLARY OF RESIDENCE,I,30.313949,(30.313949-97.671201),6710 BRYN MAWR DR,-97.671201,"Burglary / ",,,,,,
(30.338618 -97.692566),18.13,,,4.0,THEFT,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: All Other Larceny,2014-07-12 00:00:00,20145030706.0,3129997.0,10096983.0,2014.0,78753.0
1030 NORWOOD PARK BLVD Austin TX 78753,18.13,2015-03-04 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.32936427457502,,1030 NORWOOD PARK BLVD,-97.700502411477,Theft,2015-03-04 00:00:00,20155009205.0,3129997.0,10096983.0,2015.0,78753.0
513 W ST JOHNS AVE Austin TX 78752,15.03,2015-06-01 00:00:00,Not cleared,4.0,THEFT FROM AUTO,I,30.32936427457502,,513 W ST JOHNS AVE,-97.700502411477,Theft,2015-05-29 00:00:00,20155022956.0,3122696.0,10096222.0,2015.0,78752.0
1030 NORWOOD PARK BLVD Austin TX 78753,18.13,2015-10-10 00:00:00,Cleared by Arrest,4.0,THEFT,I,30.32936427457502,,1030 NORWOOD PARK BLVD,-97.700502411477,Theft,2015-09-29 00:00:00,20152721027.0,3129997.0,10096983.0,2015.0,78753.0
7404 VINTAGE HILLS DR Austin TX 78723,21.13,2015-12-17 00:00:00,Not cleared,1.0,AGG ASLT STRANGLE/SUFFOCATE,I,30.32936427457502,,7404 VINTAGE HILLS DR,-97.700502411477,Agg Assault,2015-12-11 00:00:00,20153451971.0,3138271.0,10089639.0,2015.0,78723.0
1608 CLOVERLEAF DR Austin TX 78723,21.04,2015-07-20 00:00:00,Not cleared,4.0,THEFT,I,30.32936427457502,,1608 CLOVERLEAF DR,-97.700502411477,Theft,2015-07-09 00:00:00,20151900856.0,3128681.0,10086212.0,2015.0,78723.0
6707 CAMERON RD Austin TX 78752,18.11,2015-07-25 00:00:00,Not cleared,1.0,BURGLARY OF VEHICLE,I,30.32936427457502,,6707 CAMERON RD,-97.700502411477,Theft,2015-07-20 00:00:00,20152011498.0,3129252.0,10090848.0,2015.0,78752.0
(30.318855 -97.718071),15.03,2014-10-14 00:00:00,Not cleared,4.0,THEFT OF LICENSE PLATE,I,30.318855,(30.318855-97.718071),5414 AVENUE H,-97.718071,Theft: All Other Larceny,2014-10-13 00:00:00,20145045400.0,3121605.0,10089443.0,2014.0,78751.0
(30.338618 -97.692566),18.13,2014-10-21 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: Shoplifting,2014-10-18 00:00:00,20142912081.0,3129997.0,10096983.0,2014.0,78753.0
1314 CORONA DR Austin TX 78723,21.04,2015-10-26 00:00:00,Not cleared,4.0,BURGLARY OF RESIDENCE,I,30.32936427457502,,1314 CORONA DR,-97.700502411477,Burglary,2015-10-22 00:00:00,20152950643.0,3126824.0,10086805.0,2015.0,78723.0
(30.328407 -97.739395),2.05,2014-03-20 00:00:00,Not cleared,7.0,THEFT,I,30.328407,(30.328407-97.739395),5407 CLAY AVE,-97.739395,Theft: All Other Larceny,2014-03-14 00:00:00,20145011513.0,3115025.0,10092651.0,2014.0,78756.0
7308 MEADOWOOD DR Austin TX 78723,21.13,2015-10-14 00:00:00,Not cleared,1.0,THEFT,I,30.32936427457502,,7308 MEADOWOOD DR,-97.700502411477,Theft,2015-10-06 00:00:00,20155044151.0,3137362.0,10090529.0,2015.0,78723.0
6222 N LAMAR BLVD Austin TX 78757,15.05,2015-07-03 00:00:00,Not cleared,7.0,THEFT,I,30.32936427457502,,6222 N LAMAR BLVD,-97.700502411477,Theft,2015-06-05 00:00:00,20151560624.0,3119863.0,10093861.0,2015.0,78757.0
