FID,UF,Municipio,Faixa_de_r,Produto,Valor,Concluidas,Entregues,Percentual,IF,the_geom
MCMV.20191,GO,Vian�polis,Faixa 1,Rural,237600,11,11,98.69,Caixa,POINT (-48.515914 -16.740532)
MCMV.20109,GO,Senador Canedo,Faixa 1,FAR,10998000,282,282,100,Caixa,POINT (-49.0914 -16.708400999999867)
MCMV.19769,GO,Itumbiara,Faixa 1,FAR,24367700,625,243,100,Caixa,POINT (-49.21584 -18.409267)
MCMV.19757,GO,Itapuranga,Faixa 1,Rural,64800,3,3,100,Caixa,POINT (-49.948957 -15.56059)
MCMV.19872,GO,Ner�polis,Faixa 1,FAR,24656400,640,640,100,Caixa,POINT (-49.2227079999999 -16.404707999999857)
MCMV.19987,GO,Porangatu,Faixa 1,Entidades,2500000,100,100,100,Caixa,POINT (-49.15028199999989 -13.439102)
MCMV.19964,GO,Pires do Rio,Faixa 1,Rural,109200,7,7,100,Caixa,POINT (-48.27676 -17.3019)
MCMV.19916,GO,Ouvidor,Faixa 1,Rural,75600,6,6,100,Caixa,POINT (-47.83548 -18.22766899999982)
MCMV.19908,GO,Orizona,Faixa 1,Rural,37800,3,3,100,Caixa,POINT (-48.29641 -17.033356)
MCMV.20022,GO,Rio Verde,Faixa 1,FAR,39972500,1026,1023,100,Caixa,POINT (-50.919195 -17.79227)
MCMV.20014,GO,Rio Quente,Faixa 1,Rural,88200,7,7,100,Caixa,POINT (-48.77246 -17.77398799999986)
MCMV.19308,GO,Aparecida de Goi�nia,Faixa 1,FAR,13898000,336,336,100,Caixa,POINT (-49.246856 -16.8198)
MCMV.19292,GO,An�polis,Faixa 1,FAR,57887700,1503,1503,100,Caixa,POINT (-48.952958 -16.32809)
MCMV.19260,GO,�guas Lindas de Goi�s,Faixa 1,FAR,10623000,303,303,100,Caixa,POINT (-48.281610999999884 -15.76175)
MCMV.19445,GO,Catal�o,Faixa 1,FAR,17513700,450,450,100,Caixa,POINT (-47.944043 -18.165633)
MCMV.19448,GO,Catal�o,Faixa 1,Rural,218400,14,14,100,Caixa,POINT (-47.944043 -18.165633)
MCMV.19574,GO,Goi�nia,Faixa 1,FAR,112693000,2752,1803,100,Caixa,POINT (-49.253891 -16.67860999999982)
MCMV.19543,GO,Formosa,Faixa 1,FAR,8850090,227,227,100,Caixa,POINT (-47.33699899999982 -15.53999)
MCMV.19513,GO,Davin�polis,Faixa 1,Rural,88200,7,7,100,Caixa,POINT (-47.556795 -18.150084)
MCMV.19679,GO,Hidrol�ndia,Faixa 1,FAR,17520000,450,449,100,Caixa,POINT (-49.2265349999999 -16.96258699999987)
MCMV.19705,GO,Ipameri,Faixa 1,Rural,109200,7,7,100,Caixa,POINT (-48.158118 -17.721544)
MCMV.18902,MT,Bar�o de Melga�o,Faixa 1,Oferta Publica,360000,30,30,100,ECONOMISA,POINT (-55.96233699999988 -16.20669)
MCMV.18929,MT,C�ceres,Faixa 1,FAR,21625500,565,565,100,Caixa,POINT (-57.681798 -16.076414)
MCMV.18952,MT,Canarana,Faixa 1,Oferta Publica,360000,26,26,90,BANCO TRICURY,POINT (-52.270492999999874 -13.551501999999857)
MCMV.18953,MT,Carlinda,Faixa 1,Oferta Publica,360000,29,29,97,FAM-LIA PAULISTA,POINT (-55.84167099999985 -9.949118)
MCMV.18974,MT,Cuiab�,Faixa 1,FAR,85023900,2243,1320,100,Caixa,POINT (-56.09667 -15.596109999999896)
MCMV.18964,MT,Comodoro,Faixa 1,Oferta Publica,360000,30,23,100,FAM-LIA PAULISTA,POINT (-59.784751 -13.66144)
MCMV.18957,MT,Cocalinho,Faixa 1,Oferta Publica,360000,30,26,100,BANCO TRICURY,POINT (-51.00014999999985 -14.39034)
MCMV.19015,MT,Dom Aquino,Faixa 1,Oferta Publica,360000,28,28,99.6667,ECONOMISA,POINT (-54.92229799999984 -15.8099)
MCMV.19045,MT,Vila Bela da Sant�ssima Trinda,Faixa 1,Oferta Publica,360000,30,30,100,FAM-LIA PAULISTA,POINT (-59.94725599999987 -15.003938)
MCMV.19076,MT,Nova Ol�mpia,Faixa 1,Oferta Publica,450000,29,29,99.8667,ECONOMISA,POINT (-57.288612999999884 -14.788947)
MCMV.19067,MT,Nova Brasil�ndia,Faixa 1,Oferta Publica,360000,18,18,98.8,COBANSA,POINT (-54.968527 -14.96121)
MCMV.19090,MT,Peixoto de Azevedo,Faixa 1,Oferta Publica,495000,26,26,99,CHB,POINT (-54.979376 -10.22616799999986)
MCMV.19091,MT,Peixoto de Azevedo,Faixa 1,Oferta Publica,405000,24,24,99,CHB,POINT (-54.979376 -10.22616799999986)
MCMV.19123,MT,Primavera do Leste,Faixa 1,Oferta Publica,765000,51,39,100,BICBANCO,POINT (-54.294573 -15.56008)
MCMV.19085,MT,Paranatinga,Faixa 1,Oferta Publica,450000,27,27,99.9,COBANSA,POINT (-54.052425999999855 -14.42647)
MCMV.19152,MT,Rondon�polis,Faixa 1,FAR,19499800,500,500,100,Caixa,POINT (-54.63717299999985 -16.46725)
MCMV.19141,MT,S�o Pedro da Cipa,Faixa 1,Oferta Publica,360000,25,25,99.5,ECONOMISA,POINT (-54.91758 -16.010905)
MCMV.19184,MT,Sorriso,Faixa 1,FAR,6014970,159,159,100,Caixa,POINT (-55.72105 -12.542527)
MCMV.19207,MT,Vale de S�o Domingos,Faixa 1,Oferta Publica,300000,25,25,100,FAM-LIA PAULISTA,POINT (-58.9519719999999 -14.97494799999987)
MCMV.19208,MT,Vale de S�o Domingos,Faixa 1,Oferta Publica,60000,5,5,100,FAM-LIA PAULISTA,POINT (-58.9519719999999 -14.97494799999987)
MCMV.19194,MT,Tangar� da Serra,Faixa 1,FAR,10516700,278,278,100,Caixa,POINT (-57.49328 -14.62291)
MCMV.19218,MT,V�rzea Grande,Faixa 1,FAR,90073600,2381,2381,100,Caixa,POINT (-56.132218 -15.645816)
MCMV.18585,MS,Campo Grande,Faixa 1,FAR,25851000,643,643,100,Caixa,POINT (-54.646388999999886 -20.44278)
MCMV.18658,MS,Deod�polis,Faixa 1,Oferta Publica,360000,30,26,100,ECONOMISA,POINT (-54.168163 -22.276271999999835)
MCMV.18629,MS,Chapad�o do Sul,Faixa 1,Oferta Publica,300000,25,25,100,FAM-LIA PAULISTA,POINT (-52.626336999999864 -18.78803)
MCMV.18630,MS,Chapad�o do Sul,Faixa 1,Oferta Publica,60000,5,5,100,FAM-LIA PAULISTA,POINT (-52.626336999999864 -18.78803)
MCMV.18633,MS,Coronel Sapucaia,Faixa 1,Entidades,1680000,100,100,100,Caixa,POINT (-55.52781099999987 -23.272406999999873)
MCMV.18722,MS,Itaquira�,Faixa 1,Oferta Publica,312000,26,25,100,BANCO TRICURY,POINT (-54.18697 -23.47787)
MCMV.18723,MS,Itaquira�,Faixa 1,Oferta Publica,48000,4,4,100,BANCO TRICURY,POINT (-54.18697 -23.47787)
MCMV.18700,MS,Gl�ria de Dourados,Faixa 1,Oferta Publica,360000,30,30,100,ECONOMISA,POINT (-54.233502 -22.413627999999846)
MCMV.18678,MS,Dourados,Faixa 1,FAR,23712000,608,608,100,Caixa,POINT (-54.812043 -22.223099)
MCMV.18667,MS,Douradina,Faixa 1,Oferta Publica,360000,30,29,100,ECONOMISA,POINT (-54.61576 -22.040494)
MCMV.18785,MS,Nova Andradina,Faixa 1,Oferta Publica,900000,60,60,100,FAM-LIA PAULISTA,POINT (-53.34371 -22.237971)
MCMV.18777,MS,Nova Alvorada do Sul,Faixa 1,Oferta Publica,360000,30,30,100,ECONOMISA,POINT (-54.382491 -21.46569)
MCMV.18869,MS,Vicentina,Faixa 1,Oferta Publica,360000,30,29,100,BANCO TRICURY,POINT (-54.441507 -22.409801)
MCMV.18857,MS,Terenos,Faixa 1,Oferta Publica,360000,30,30,100,BANCO LUSO BRASILEIRO,POINT (-54.86474 -20.43784)
MCMV.18849,MS,Tacuru,Faixa 1,Oferta Publica,360000,30,30,100,BANCO TRICURY,POINT (-55.014136999999835 -23.635954)
MCMV.18056,RS,Sapiranga,Faixa 1,FAR,9766530,224,224,100,Caixa,POINT (-51.00644599999987 -29.634885)
MCMV.18041,RS,S�o Val�rio do Sul,Faixa 1,Rural,438000,30,30,100,Caixa,POINT (-53.936771 -27.790638999999885)
MCMV.18008,RS,S�o Pedro do Buti�,Faixa 1,Rural,714886,30,30,100,Caixa,POINT (-54.8926 -28.12425)
MCMV.18002,RS,S�o Pedro das Miss�es,Faixa 1,Rural,88200,5,5,100,Caixa,POINT (-53.23916 -27.78252)
MCMV.17995,RS,S�o Paulo das Miss�es,Faixa 1,Rural,163800,13,13,95.83,Caixa,POINT (-54.94035 -28.019545999999877)
MCMV.17996,RS,S�o Paulo das Miss�es,Faixa 1,Rural,302400,23,23,100,Caixa,POINT (-54.94035 -28.019545999999877)
MCMV.17983,RS,S�o Miguel das Miss�es,Faixa 1,Rural,247600,19,19,100,Caixa,POINT (-54.555878999999834 -28.55604)
MCMV.17977,RS,S�o Martinho da Serra,Faixa 1,Rural,100800,8,8,95,Caixa,POINT (-53.859 -29.53967)
MCMV.17958,RS,S�o Louren�o do Sul,Faixa 1,Rural,54797.4,3,3,100,Caixa,POINT (-51.97153099999986 -31.35637)
MCMV.17938,RS,S�o Leopoldo,Faixa 1,FAR,16943900,384,366,100,Caixa,POINT (-51.14977 -29.75449)
